Place,City,total_reviews,rating_promedio,negativo,neutral,positivo,prop_negativo,prop_neutral,prop_positivo,indice_percepcion
One Tree Hill Point,Matheran,130,4.115384615384615,2,32,96,0.015384615384615385,0.24615384615384617,0.7384615384615385,0.7230769230769232
Rangji Temple,Ajmer,130,4.246153846153846,4,28,98,0.03076923076923077,0.2153846153846154,0.7538461538461538,0.7230769230769231
Queens Land,Chennai,213,4.352112676056338,17,25,171,0.07981220657276995,0.11737089201877934,0.8028169014084507,0.7230046948356808
The Saturday Night Market,Arpora,913,4.24315443592552,46,161,706,0.050383351588170866,0.17634173055859803,0.7732749178532311,0.7228915662650602
Elliot's Beach,Chennai,339,4.274336283185841,18,58,263,0.05309734513274336,0.1710914454277286,0.775811209439528,0.7227138643067846
Bhigwan Bird Watching,Baramati,155,4.15483870967742,6,31,118,0.03870967741935484,0.2,0.7612903225806451,0.7225806451612903
Church of St. Francis of Assissi,Old Goa,173,4.277456647398844,5,38,130,0.028901734104046242,0.21965317919075145,0.7514450867052023,0.722543352601156
Vivekananda House,Chennai,173,4.109826589595376,1,46,126,0.005780346820809248,0.2658959537572254,0.7283236994219653,0.722543352601156
Mayfair Gangtok Casino Mahjong,Gangtok,180,4.383333333333334,14,22,144,0.07777777777777778,0.12222222222222222,0.8,0.7222222222222223
Ambazari Lake and Garden,Nagpur,90,4.233333333333333,4,17,69,0.044444444444444446,0.18888888888888888,0.7666666666666667,0.7222222222222223
