City,total_reviews,total_places,rating_promedio,negativo,neutral,positivo,prop_negativo,prop_neutral,prop_positivo,indice_percepcion
Bambolim,188,5,4.7287234042553195,6,4,178,0.031914893617021274,0.02127659574468085,0.9468085106382979,0.9148936170212766
Satna,23,2,4.478260869565218,0,2,21,0.0,0.08695652173913043,0.9130434782608695,0.9130434782608695
Bagdogra,45,3,4.822222222222222,0,4,41,0.0,0.08888888888888889,0.9111111111111111,0.9111111111111111
Renukoot,11,2,4.7272727272727275,0,1,10,0.0,0.09090909090909091,0.9090909090909091,0.9090909090909091
Nargol,11,1,4.545454545454546,0,1,10,0.0,0.09090909090909091,0.9090909090909091,0.9090909090909091
Kamargaon,22,1,4.409090909090909,0,2,20,0.0,0.09090909090909091,0.9090909090909091,0.9090909090909091
Ayyampuzha,11,1,4.363636363636363,0,1,10,0.0,0.09090909090909091,0.9090909090909091,0.9090909090909091
Teda,86,1,4.6976744186046515,1,6,79,0.011627906976744186,0.06976744186046512,0.9186046511627907,0.9069767441860465
Muttom,21,1,4.619047619047619,0,2,19,0.0,0.09523809523809523,0.9047619047619048,0.9047619047619048
Siddapura,41,2,4.536585365853658,0,4,37,0.0,0.0975609756097561,0.9024390243902439,0.9024390243902439
Supin Range,10,1,4.6,0,1,9,0.0,0.1,0.9,0.9
Garjiya,10,1,4.4,0,1,9,0.0,0.1,0.9,0.9
Ghatgan,30,1,4.266666666666667,0,3,27,0.0,0.1,0.9,0.9
Badlapur,29,3,4.517241379310345,0,3,26,0.0,0.10344827586206896,0.896551724137931,0.896551724137931
Salawas,19,1,4.631578947368421,0,2,17,0.0,0.10526315789473684,0.8947368421052632,0.8947368421052632
Padinjarathara,19,2,4.526315789473684,0,2,17,0.0,0.10526315789473684,0.8947368421052632,0.8947368421052632
Vagator,151,5,4.695364238410596,3,10,138,0.019867549668874173,0.06622516556291391,0.9139072847682119,0.8940397350993378
Chinchoti,47,1,4.468085106382978,1,3,43,0.02127659574468085,0.06382978723404255,0.9148936170212766,0.8936170212765957
Mannargudi,28,2,4.321428571428571,0,3,25,0.0,0.10714285714285714,0.8928571428571429,0.8928571428571429
Utorda,643,2,4.564541213063763,12,46,585,0.01866251944012442,0.07153965785381027,0.9097978227060654,0.8911353032659409
Bandoli,9,1,4.666666666666667,0,1,8,0.0,0.1111111111111111,0.8888888888888888,0.8888888888888888
Gwaldam,9,1,4.555555555555555,0,1,8,0.0,0.1111111111111111,0.8888888888888888,0.8888888888888888
Keori,9,1,4.555555555555555,0,1,8,0.0,0.1111111111111111,0.8888888888888888,0.8888888888888888
Payyanur,9,3,4.555555555555555,0,1,8,0.0,0.1111111111111111,0.8888888888888888,0.8888888888888888
Saswad,9,1,4.555555555555555,0,1,8,0.0,0.1111111111111111,0.8888888888888888,0.8888888888888888
Kotkhai,9,3,4.333333333333333,0,1,8,0.0,0.1111111111111111,0.8888888888888888,0.8888888888888888
Khanvel,9,1,4.222222222222222,0,1,8,0.0,0.1111111111111111,0.8888888888888888,0.8888888888888888
